IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度MB/s
8.222.215.228,8443,true,SIN,亚太,新加坡,3 ms,42.42
47.236.164.65,2087,true,SIN,亚太,新加坡,12 ms,42.40
47.237.95.13,8443,true,SIN,亚太,新加坡,4 ms,42.38
8.222.160.176,8443,true,SIN,亚太,新加坡,2 ms,42.33
8.219.67.133,8443,true,SIN,亚太,新加坡,3 ms,42.33
8.219.110.248,2083,true,SIN,亚太,新加坡,4 ms,42.32
47.236.104.11,8443,true,SIN,亚太,新加坡,4 ms,42.29
8.222.193.65,8443,true,SIN,亚太,新加坡,3 ms,42.24
8.219.210.57,2083,true,SIN,亚太,新加坡,4 ms,42.20
47.245.105.224,2096,true,SIN,亚太,新加坡,4 ms,42.14
8.219.103.65,2087,true,SIN,亚太,新加坡,4 ms,42.12
47.236.254.120,2053,true,SIN,亚太,新加坡,4 ms,42.11
47.237.95.156,2096,true,SIN,亚太,新加坡,4 ms,42.06
8.222.249.190,2053,true,SIN,亚太,新加坡,6 ms,42.03
8.222.191.138,8443,true,SIN,亚太,新加坡,4 ms,41.98
8.219.49.65,2053,true,SIN,亚太,新加坡,4 ms,41.90
47.245.86.230,2087,true,SIN,亚太,新加坡,4 ms,41.90
47.236.169.164,2096,true,SIN,亚太,新加坡,5 ms,41.88
47.236.205.188,2087,true,SIN,亚太,新加坡,4 ms,41.85
47.237.81.112,2087,true,SIN,亚太,新加坡,3 ms,41.82
47.236.121.23,8443,true,SIN,亚太,新加坡,5 ms,41.81
8.219.83.201,2053,true,SIN,亚太,新加坡,3 ms,41.69
47.236.146.249,2096,true,SIN,亚太,新加坡,6 ms,41.63
8.219.201.245,8443,true,SIN,亚太,新加坡,5 ms,41.59
47.237.82.15,2096,true,SIN,亚太,新加坡,4 ms,41.59
8.222.144.50,2083,true,SIN,亚太,新加坡,4 ms,41.57
47.245.96.80,2083,true,SIN,亚太,新加坡,3 ms,41.54
8.219.4.122,2087,true,SIN,亚太,新加坡,3 ms,41.37
47.236.150.13,8443,true,SIN,亚太,新加坡,5 ms,41.36
8.219.87.30,8443,true,SIN,亚太,新加坡,4 ms,41.26
47.236.144.196,2087,true,SIN,亚太,新加坡,5 ms,41.26
47.236.123.133,2053,true,SIN,亚太,新加坡,4 ms,41.23
8.222.164.209,2096,true,SIN,亚太,新加坡,3 ms,41.21
47.236.170.225,2053,true,SIN,亚太,新加坡,5 ms,41.20
47.245.96.80,2096,true,SIN,亚太,新加坡,9 ms,41.19
47.236.169.202,2083,true,SIN,亚太,新加坡,8 ms,41.19
47.236.170.54,2053,true,SIN,亚太,新加坡,3 ms,41.07
8.219.103.65,2096,true,SIN,亚太,新加坡,5 ms,41.00
47.237.10.1,2087,true,SIN,亚太,新加坡,4 ms,40.96
47.236.170.54,2083,true,SIN,亚太,新加坡,3 ms,40.87
47.237.82.15,8443,true,SIN,亚太,新加坡,4 ms,40.81
8.219.222.98,443,true,SIN,亚太,新加坡,2 ms,40.80
8.219.200.145,2083,true,SIN,亚太,新加坡,8 ms,40.78
8.219.142.191,2083,true,SIN,亚太,新加坡,4 ms,40.76
47.236.75.152,2087,true,SIN,亚太,新加坡,4 ms,40.75
8.219.210.64,443,true,SIN,亚太,新加坡,2 ms,40.72
8.219.163.195,2053,true,SIN,亚太,新加坡,3 ms,40.72
8.219.239.79,2087,true,SIN,亚太,新加坡,4 ms,40.67
8.222.183.242,2053,true,SIN,亚太,新加坡,4 ms,40.66
47.236.75.113,2083,true,SIN,亚太,新加坡,4 ms,40.58
47.237.121.38,2087,true,SIN,亚太,新加坡,2 ms,40.58
8.219.201.245,2083,true,SIN,亚太,新加坡,4 ms,40.43
47.236.120.9,2087,true,SIN,亚太,新加坡,3 ms,40.38
8.219.84.214,443,true,SIN,亚太,新加坡,1 ms,40.29
